accessno,activity,access_date_time,access_time
6610,View Financial Aid,3:37 PM,9/29/2014
372,View Financial Aid,6:29 AM,12/20/2012
1859, Browse Course Catalog,7:50 AM,6/18/2016
11144,Enroll in Payment Plan,12:13 PM,9/4/2012
1670,Enroll in Payment Plan,3:18 AM,3/22/2015
7953,  Class Search ,9:36 PM,5/15/2017
13579,Enroll in Payment Plan,11:52 PM,2/2/2015
697,Enroll in Payment Plan,8:47 PM,3/14/2012
9218, Browse Course Catalog,5:08 AM,11/6/2016
11645, Account Inquiry,5:42 PM,9/19/2012
2126,Enroll in Payment Plan,4:04 AM,12/13/2012
14068,View Financial Aid,11:13 AM,3/21/2016
2775,Enroll in Payment Plan,12:40 PM,4/22/2014
4687,View Financial Aid,11:11 PM,8/10/2012
5965,Enroll in Payment Plan,3:08 AM,12/28/2013
14998, Account Inquiry,6:39 AM,12/19/2016
5488, Browse Course Catalog,1:31 AM,2/24/2017
6900,View Financial Aid,9:54 PM,2/12/2012
9409, Account Inquiry,3:57 PM,2/20/2012
4806, Account Inquiry,2:13 AM,9/26/2016
11700,View Financial Aid,8:33 AM,11/15/2016
3419,  Class Search ,4:16 PM,5/12/2013
7285, My Course History,12:34 AM,5/18/2017
14927,  Class Search ,9:35 AM,6/11/2014
6138,Enroll in Payment Plan,2:38 PM,12/30/2012
11325, My Course History,3:06 PM,6/21/2013
3268,View Financial Aid,12:56 PM,2/13/2014
12410,View Financial Aid,10:29 PM,9/25/2011
1325, Account Inquiry,7:37 PM,7/4/2012
2132,Enroll in Payment Plan,3:24 PM,10/12/2013
6255,View Financial Aid,2:35 AM,11/10/2015
4545,View Financial Aid,8:27 AM,8/31/2016
6017, Account Inquiry,8:29 PM,10/23/2016
12923,Enroll in Payment Plan,11:53 PM,10/31/2011
13290,Enroll in Payment Plan,9:35 PM,8/21/2012
178,View Financial Aid,8:55 AM,8/29/2012
11302,View Financial Aid,6:19 PM,4/29/2014
8722,Enroll in Payment Plan,2:53 PM,4/16/2012
11679,Enroll in Payment Plan,6:01 PM,6/29/2017
4039, Browse Course Catalog,2:41 PM,11/19/2014
13844,View Financial Aid,10:31 PM,6/21/2013
11640,View Financial Aid,3:41 PM,6/24/2016
14776,Enroll in Payment Plan,10:35 PM,8/19/2014
9825, Browse Course Catalog,6:13 AM,6/19/2017
5958,Enroll in Payment Plan,7:43 PM,1/20/2015
2375,View Financial Aid,10:23 PM,4/6/2016
2786,Enroll in Payment Plan,3:35 AM,3/13/2012
2936,Enroll in Payment Plan,10:05 AM,3/22/2016
3669,View Financial Aid,4:02 PM,8/31/2011
8626, Account Inquiry,10:18 AM,7/21/2016
9993,View Unofficial Transcript ,3:03 PM,4/12/2013
3150,Enroll in Payment Plan,7:04 PM,1/20/2012
10628,Enroll in Payment Plan,6:18 AM,3/14/2015
11050,View Financial Aid,4:25 PM,2/21/2013
986,Enroll in Payment Plan,8:51 PM,12/2/2016
7271, Browse Course Catalog,11:54 AM,1/30/2014
12079,Enroll in Payment Plan,5:25 PM,5/6/2013
6876,View Financial Aid,3:18 AM,12/31/2012
4223,Enroll in Payment Plan,7:23 PM,11/24/2014
2970, Account Inquiry,7:21 PM,5/12/2015
7453,Enroll in Payment Plan,4:45 PM,10/15/2011
9794,Enroll in Payment Plan,8:04 PM,3/7/2017
12081,Enroll in Payment Plan,8:27 PM,8/31/2012
6887,Enroll in Payment Plan,8:26 AM,4/4/2017
3975,View Financial Aid,9:11 AM,5/21/2012
12896, Account Inquiry,3:47 AM,4/30/2014
3399,View Financial Aid,3:05 AM,9/24/2011
13456,Enroll in Payment Plan,11:06 AM,3/30/2017
9418,View Financial Aid,6:13 AM,4/30/2013
2270,Enroll in Payment Plan,7:09 PM,11/16/2012
3490, Browse Course Catalog,1:03 AM,1/13/2017
8100, Account Inquiry,9:10 AM,8/4/2012
2089,Enroll in Payment Plan,9:39 PM,6/18/2012
11424,Enroll in Payment Plan,7:59 PM,2/23/2012
4747,View Financial Aid,10:19 AM,9/23/2015
7390,Enroll in Payment Plan,9:53 PM,6/24/2016
2701,View Financial Aid,10:49 PM,2/3/2017
6038,View Financial Aid,2:11 AM,6/6/2013
7276,Enroll in Payment Plan,10:52 AM,5/3/2016
8521,View Financial Aid,11:14 AM,5/22/2017
2410,Enroll in Payment Plan,7:20 AM,10/4/2016
2346,View Financial Aid,10:16 PM,5/15/2015
14022,Enroll in Payment Plan,8:19 PM,9/4/2011
9315,Enroll in Payment Plan,3:55 AM,10/1/2012
400,Enroll in Payment Plan,9:14 PM,9/11/2014
1804,View Financial Aid,9:08 PM,2/22/2014
5030,Enroll in Payment Plan,3:54 PM,12/31/2012
9607,Enroll in Payment Plan,6:56 AM,3/21/2016
14990,Enroll in Payment Plan,10:27 PM,11/17/2011
14972, Account Inquiry,3:52 AM,12/5/2016
6953,View Financial Aid,2:12 AM,10/8/2015
9224,View Financial Aid,9:22 PM,6/2/2016
13981,Enroll in Payment Plan,7:26 PM,5/19/2012
10827,Enroll in Payment Plan,8:21 AM,8/4/2015
5274,Enroll in Payment Plan,1:25 PM,2/27/2016
7281,Enroll in Payment Plan,8:59 AM,10/16/2013
11046,Enroll in Payment Plan,10:27 PM,11/21/2016
14570,  Class Search ,10:50 PM,9/19/2013
14091, Account Inquiry,6:50 AM,11/22/2012
6549, Browse Course Catalog,11:01 PM,7/6/2013
14670,View Unofficial Transcript ,4:08 AM,7/23/2012
12281, Account Inquiry,3:58 AM,1/26/2015
1448, Account Inquiry,2:45 AM,1/15/2017
696,  Class Search ,2:23 PM,11/4/2012
1570, Account Inquiry,9:56 PM,1/11/2014
11645,Enroll in Payment Plan,10:07 AM,4/24/2012
11426,Enroll in Payment Plan,8:34 PM,12/24/2012
2488,Enroll in Payment Plan,10:19 AM,3/25/2013
2433,Enroll in Payment Plan,4:28 AM,11/23/2011
8157,Enroll in Payment Plan,8:50 PM,11/17/2012
11100,Enroll in Payment Plan,8:28 AM,1/1/2017
12415,View Financial Aid,9:57 AM,11/27/2016
9375, Account Inquiry,2:31 PM,8/3/2015
12196,Enroll in Payment Plan,5:02 PM,9/2/2011
6784,Enroll in Payment Plan,4:49 AM,7/3/2015
5880,Enroll in Payment Plan,12:56 PM,8/19/2013
14953,Enroll in Payment Plan,1:42 AM,7/14/2013
11539,View Financial Aid,10:11 AM,1/11/2017
11886, Browse Course Catalog,3:04 PM,7/27/2014
14150,View Financial Aid,6:05 AM,8/7/2015
8695,Enroll in Payment Plan,8:14 PM,10/4/2014
7795,Enroll in Payment Plan,5:25 PM,8/14/2017
12558,View Financial Aid,11:00 AM,12/17/2011
11685,Enroll in Payment Plan,2:07 PM,7/15/2017
13753,Enroll in Payment Plan,2:43 AM,3/8/2014
8632,View Financial Aid,6:19 AM,10/15/2015
526,View Financial Aid,12:45 AM,8/22/2011
14623,  Class Search ,9:06 AM,3/5/2012
3693,Enroll in Payment Plan,8:16 PM,3/9/2017
6329,Enroll in Payment Plan,8:38 AM,10/16/2015
4202,Enroll in Payment Plan,8:40 PM,11/5/2015
12980,Enroll in Payment Plan,7:40 PM,1/27/2012
2100,View Financial Aid,7:01 PM,3/10/2014
1160,Enroll in Payment Plan,2:40 AM,6/20/2013
1688,Enroll in Payment Plan,7:17 PM,2/5/2012
2172,View Unofficial Transcript ,1:16 AM,10/27/2013
2222, Browse Course Catalog,4:42 PM,1/2/2017
4016,Enroll in Payment Plan,2:01 PM,12/18/2015
1046,Enroll in Payment Plan,9:22 PM,3/12/2013
10862,Enroll in Payment Plan,3:44 AM,5/26/2012
14065,Enroll in Payment Plan,4:09 PM,7/25/2012
7875,View Financial Aid,8:03 PM,1/27/2012
7791,Enroll in Payment Plan,9:32 PM,10/4/2012
10416,Enroll in Payment Plan,5:48 PM,10/4/2011
5763,Enroll in Payment Plan,7:40 PM,10/29/2011
12185,View Financial Aid,6:53 AM,9/14/2015
1266, Browse Course Catalog,10:22 PM,11/21/2013
545,Enroll in Payment Plan,8:02 AM,5/10/2017
2437,Enroll in Payment Plan,8:57 PM,7/16/2017
3132,View Financial Aid,1:07 AM,2/19/2013
10705,Enroll in Payment Plan,2:08 AM,6/13/2012
8144,View Financial Aid,9:55 AM,12/4/2015
13525, Account Inquiry,11:42 PM,6/15/2014
14066,View Financial Aid,2:00 PM,3/20/2017
1274,Enroll in Payment Plan,4:17 PM,4/18/2016
2847,Enroll in Payment Plan,12:24 PM,12/10/2014
1449,View Financial Aid,10:54 AM,12/20/2013
3701,View Financial Aid,11:50 AM,6/12/2012
220,View Financial Aid,3:40 PM,4/26/2013
8941, Browse Course Catalog,3:11 PM,10/26/2012
4373,View Unofficial Transcript ,5:47 AM,12/16/2011
14742,Enroll in Payment Plan,8:21 PM,12/12/2015
7909,Enroll in Payment Plan,11:05 PM,2/15/2013
12455,Enroll in Payment Plan,10:41 PM,7/9/2013
8054, Account Inquiry,3:49 AM,6/23/2013
10011,View Financial Aid,2:10 AM,6/29/2017
7461,Enroll in Payment Plan,2:59 AM,10/26/2015
7317,Enroll in Payment Plan,1:39 AM,8/20/2014
4592,Enroll in Payment Plan,7:06 AM,5/12/2016
10525,  Class Search ,5:37 AM,2/19/2017
3862,Enroll in Payment Plan,5:26 AM,2/19/2016
4867,Enroll in Payment Plan,10:04 PM,3/2/2012
1398,Enroll in Payment Plan,9:22 PM,12/7/2011
314,Enroll in Payment Plan,4:02 PM,8/25/2011
7256,  Class Search ,9:06 AM,12/7/2015
13679,Enroll in Payment Plan,7:25 PM,5/26/2013
12484,Enroll in Payment Plan,2:28 AM,12/17/2013
2903,Enroll in Payment Plan,3:55 AM,10/5/2014
2762,View Financial Aid,6:40 AM,3/18/2013
4451,View Financial Aid,11:48 PM,9/13/2013
5594,View Financial Aid,4:11 PM,8/23/2013
13489,View Unofficial Transcript ,6:20 AM,12/23/2013
11152, Account Inquiry,3:54 PM,2/24/2016
12398,Enroll in Payment Plan,6:24 PM,8/24/2011
6843, Browse Course Catalog,3:53 PM,5/7/2017
13,Enroll in Payment Plan,4:29 PM,2/8/2017
14363,View Financial Aid,11:51 AM,9/4/2015
4207,Enroll in Payment Plan,5:48 PM,4/23/2012
7192,  Class Search ,4:51 AM,7/30/2017
14628,View Financial Aid,6:04 PM,4/17/2014
5834,Enroll in Payment Plan,9:44 AM,11/25/2012
4879,Enroll in Payment Plan,5:13 AM,11/2/2014
4990,View Financial Aid,2:55 PM,8/21/2011
10357, Account Inquiry,1:01 PM,2/16/2012
13520,View Financial Aid,3:37 PM,9/21/2013
9386,  Class Search ,8:23 PM,4/22/2016
14801, Account Inquiry,11:57 AM,2/2/2017
6287,View Financial Aid,11:02 PM,7/28/2013
8385,Enroll in Payment Plan,5:55 PM,3/4/2016
4366, Account Inquiry,11:04 AM,4/18/2017
14994,View Financial Aid,12:54 AM,2/1/2015
10716,View Financial Aid,8:48 PM,9/21/2015
2793,Enroll in Payment Plan,12:06 AM,1/21/2012
4966, Account Inquiry,4:35 PM,12/28/2013
13173,View Financial Aid,10:09 AM,6/26/2013
89,View Unofficial Transcript ,1:24 PM,3/10/2014
10093,  Class Search ,9:08 PM,2/27/2017
10915,Enroll in Payment Plan,12:34 AM,9/12/2011
8100, Browse Course Catalog,6:13 AM,12/7/2013
6583, Browse Course Catalog,1:51 PM,6/14/2013
2101,View Financial Aid,10:01 PM,5/22/2013
12825,Enroll in Payment Plan,1:02 AM,5/29/2013
11662, Account Inquiry,8:03 AM,9/8/2014
7208,View Financial Aid,3:54 PM,4/4/2016
10339,View Financial Aid,7:52 PM,12/15/2016
4202,View Financial Aid,2:39 PM,3/30/2012
13820,Enroll in Payment Plan,10:14 PM,9/3/2016
12403,View Unofficial Transcript ,12:00 AM,11/21/2012
12107,Enroll in Payment Plan,12:35 AM,2/9/2017
9416,Enroll in Payment Plan,10:17 AM,1/12/2015
115,Enroll in Payment Plan,5:32 PM,12/12/2016
5779, Account Inquiry,7:12 AM,3/13/2012
2308, Browse Course Catalog,9:23 AM,8/4/2013
1501,Enroll in Payment Plan,9:08 AM,1/20/2013
1040,Enroll in Payment Plan,5:42 AM,3/4/2017
2307,Enroll in Payment Plan,7:35 PM,5/4/2016
7971,Enroll in Payment Plan,10:02 AM,9/22/2013
4208, My Course History,7:29 PM,5/29/2013
1602, Account Inquiry,12:48 PM,5/17/2012
7337,Enroll in Payment Plan,9:43 PM,10/17/2014
14373,Enroll in Payment Plan,10:46 AM,4/12/2015
9226,Enroll in Payment Plan,2:01 AM,2/19/2015
1961,Enroll in Payment Plan,10:18 PM,4/12/2016
14115,Enroll in Payment Plan,7:20 PM,10/26/2015
14453,View Financial Aid,12:31 PM,6/17/2016
9879,Enroll in Payment Plan,1:39 PM,3/26/2013
1944,Enroll in Payment Plan,12:12 AM,4/29/2017
10156,Enroll in Payment Plan,9:53 PM,12/6/2015
1772,Enroll in Payment Plan,4:11 PM,3/2/2013
768,View Financial Aid,12:11 PM,2/9/2013
14089,View Financial Aid,5:55 PM,12/30/2013
13957,Enroll in Payment Plan,7:50 AM,4/18/2012
14956,Enroll in Payment Plan,1:23 PM,12/14/2015
13173,View Financial Aid,9:30 PM,10/13/2015
10084, Account Inquiry,8:36 PM,11/16/2015
6603,Enroll in Payment Plan,5:50 PM,3/16/2013
5141,View Financial Aid,10:53 PM,10/31/2012
4942,Enroll in Payment Plan,11:52 AM,5/31/2016
4235,Enroll in Payment Plan,1:31 PM,10/2/2014
6139,Enroll in Payment Plan,7:23 AM,2/6/2015
14467,View Financial Aid,11:13 AM,2/16/2013
12181,View Financial Aid,5:04 AM,6/12/2017
4862, Account Inquiry,12:43 PM,10/9/2011
10755,Enroll in Payment Plan,9:01 AM,6/5/2017
6749, Account Inquiry,3:07 AM,9/14/2015
431,Enroll in Payment Plan,5:58 PM,2/28/2015
723,Enroll in Payment Plan,2:38 PM,6/22/2012
2214,Enroll in Payment Plan,1:35 AM,5/14/2014
9236,Enroll in Payment Plan,8:10 PM,12/1/2015
912,Enroll in Payment Plan,4:31 AM,12/14/2016
13144, Account Inquiry,6:33 AM,3/28/2017
3017,Enroll in Payment Plan,9:01 PM,9/19/2014
2098,View Financial Aid,2:58 AM,10/13/2014
1810,Enroll in Payment Plan,7:51 PM,1/31/2015
9851,Enroll in Payment Plan,5:38 PM,12/31/2014
13963,View Financial Aid,3:24 PM,9/15/2011
1962,View Financial Aid,5:39 AM,7/31/2017
10428,Enroll in Payment Plan,12:23 PM,6/14/2012
3329,View Financial Aid,11:50 AM,10/21/2013
1728,View Financial Aid,4:16 PM,6/5/2016
12869, Browse Course Catalog,12:03 PM,3/26/2015
8159,Enroll in Payment Plan,5:30 PM,3/28/2013
5435,Enroll in Payment Plan,6:22 AM,9/2/2015
3397,Enroll in Payment Plan,6:39 AM,3/10/2016
14950,Enroll in Payment Plan,4:37 PM,12/21/2012
10833,View Financial Aid,10:44 PM,4/5/2013
10204, Account Inquiry,1:34 AM,12/22/2011
14944,Enroll in Payment Plan,8:48 PM,11/9/2015
11827,Enroll in Payment Plan,12:20 AM,4/24/2016
1414, Account Inquiry,7:40 PM,8/24/2016
11447, Account Inquiry,12:50 AM,7/16/2013
2931,  Class Search ,9:31 AM,9/14/2016
666,Enroll in Payment Plan,7:13 PM,9/9/2013
9084,Enroll in Payment Plan,6:28 AM,5/1/2015
3341,View Financial Aid,8:38 AM,3/15/2017
14388, Account Inquiry,8:37 PM,3/24/2012
10511, Account Inquiry,1:00 AM,2/7/2017
8168,Enroll in Payment Plan,2:39 PM,6/3/2016
13941, Account Inquiry,4:32 AM,7/22/2017
1551,Enroll in Payment Plan,9:05 AM,9/26/2012
653,Enroll in Payment Plan,1:10 AM,10/2/2012
14504,Enroll in Payment Plan,3:56 PM,10/4/2015
8984,Enroll in Payment Plan,7:34 PM,2/28/2012
3715, Account Inquiry,3:16 PM,12/3/2011
11077,Enroll in Payment Plan,6:02 AM,3/23/2017
12691,Enroll in Payment Plan,10:59 AM,12/28/2011
11737, Account Inquiry,4:26 AM,12/3/2013
5487,View Financial Aid,7:53 PM,1/1/2016
12226,Enroll in Payment Plan,3:21 PM,12/8/2013
10400, Account Inquiry,11:37 PM,12/26/2013
3773,View Financial Aid,3:34 PM,8/24/2013
12765,Enroll in Payment Plan,8:42 AM,4/8/2013
10380,View Financial Aid,2:28 AM,3/19/2015
7297,View Financial Aid,10:22 AM,9/27/2012
11648,View Financial Aid,2:37 AM,3/4/2017
1061, Account Inquiry,2:51 PM,6/6/2017
10559, My Course History,12:25 AM,5/13/2017
11394,View Financial Aid,6:15 PM,3/26/2014
5283,Enroll in Payment Plan,7:41 PM,5/18/2012
1917,Enroll in Payment Plan,5:24 AM,4/6/2013
6876,View Financial Aid,7:43 AM,11/4/2012
1124,View Financial Aid,10:56 PM,4/9/2015
6198,Enroll in Payment Plan,11:06 AM,8/3/2013
14176,Enroll in Payment Plan,3:02 AM,5/15/2017
819,Enroll in Payment Plan,2:01 AM,1/13/2012
12946, Account Inquiry,4:39 AM,10/29/2013
1313,Enroll in Payment Plan,9:28 PM,12/16/2016
14374,View Financial Aid,10:24 PM,8/13/2012
6376, Browse Course Catalog,3:01 AM,2/24/2016
13821,View Financial Aid,9:47 AM,4/18/2016
11233,Enroll in Payment Plan,1:57 AM,3/3/2015
1115, My Course History,11:44 AM,2/14/2012
488,Enroll in Payment Plan,5:54 AM,3/31/2014
12428,Enroll in Payment Plan,7:15 PM,1/18/2017
1803,Enroll in Payment Plan,3:46 PM,10/9/2012
10371, Browse Course Catalog,11:51 AM,4/26/2012
7381, Account Inquiry,2:14 PM,11/23/2016
7033,Enroll in Payment Plan,11:39 AM,10/3/2015
1407,View Financial Aid,9:50 AM,4/16/2017
6117,View Financial Aid,12:35 PM,4/14/2013
8400,  Class Search ,10:55 PM,3/8/2015
4328,View Financial Aid,12:51 PM,9/4/2014
13998,View Financial Aid,3:53 AM,4/11/2016
11721,View Financial Aid,2:20 PM,1/5/2015
11178,Enroll in Payment Plan,11:49 PM,4/11/2014
12411,View Financial Aid,6:48 PM,10/20/2014
9474,  Class Search ,4:01 PM,11/21/2015
12235, My Course History,9:17 PM,10/27/2011
5384,Enroll in Payment Plan,8:55 PM,5/24/2017
495,Enroll in Payment Plan,11:59 AM,9/11/2016
5644, Account Inquiry,10:11 AM,11/28/2012
10578,  Class Search ,12:13 PM,4/14/2013
4783,View Financial Aid,4:05 AM,1/2/2012
11382,Enroll in Payment Plan,12:44 PM,8/19/2014
10781,Enroll in Payment Plan,5:48 AM,4/16/2012
4309,View Financial Aid,6:21 AM,7/17/2015
7865, Account Inquiry,2:54 AM,8/20/2013
10289, Account Inquiry,7:11 AM,7/8/2013
11735, Account Inquiry,11:34 AM,7/9/2017
8319,View Financial Aid,1:08 PM,8/6/2014
2318, Account Inquiry,3:40 AM,9/15/2013
352,Enroll in Payment Plan,2:34 PM,7/1/2012
11805,View Financial Aid,5:57 PM,1/11/2016
4100,Enroll in Payment Plan,12:59 AM,6/25/2013
10219,Enroll in Payment Plan,11:37 AM,7/4/2012
10190, Account Inquiry,10:13 PM,7/7/2016
13692,Enroll in Payment Plan,10:27 AM,10/3/2012
4792,Enroll in Payment Plan,6:19 PM,6/17/2012
3135,Enroll in Payment Plan,6:34 AM,2/11/2015
1718,Enroll in Payment Plan,9:27 AM,3/16/2012
4443, Browse Course Catalog,8:47 PM,8/5/2016
1895, Account Inquiry,12:00 AM,4/23/2016
11924, Account Inquiry,5:55 PM,4/15/2013
5173, Browse Course Catalog,6:27 PM,4/26/2015
223,View Financial Aid,4:12 PM,12/30/2012
3131,View Financial Aid,5:40 PM,12/8/2016
7866,Enroll in Payment Plan,3:35 PM,10/1/2016
1901,Enroll in Payment Plan,11:44 PM,10/8/2011
7606,Enroll in Payment Plan,5:04 AM,6/15/2015
11289,View Financial Aid,2:11 AM,9/12/2013
4447, Account Inquiry,5:05 AM,10/8/2014
317, Account Inquiry,5:41 AM,10/6/2013
7735,Enroll in Payment Plan,1:26 AM,10/3/2012
12958, Browse Course Catalog,1:13 PM,12/15/2011
4488, Account Inquiry,3:13 AM,12/16/2012
11741, Account Inquiry,3:21 AM,4/27/2016
995,Enroll in Payment Plan,3:37 AM,12/11/2013
2996,Enroll in Payment Plan,12:36 AM,3/20/2014
274,View Financial Aid,2:19 AM,10/18/2013
14998,Enroll in Payment Plan,10:59 AM,3/7/2016
11160,View Financial Aid,12:51 PM,12/6/2013
8398, Account Inquiry,11:18 PM,2/4/2013
99,View Unofficial Transcript ,12:59 PM,10/25/2013
8565,Enroll in Payment Plan,1:19 PM,9/15/2015
4340,Enroll in Payment Plan,6:42 AM,4/22/2013
5114, Account Inquiry,4:26 PM,6/27/2016
9180,Enroll in Payment Plan,11:27 PM,8/11/2013
14729,Enroll in Payment Plan,6:10 PM,4/15/2014
8606,Enroll in Payment Plan,9:41 AM,6/4/2015
5401,  Class Search ,4:51 AM,3/20/2017
1001,View Financial Aid,1:58 AM,1/3/2014
9206,View Financial Aid,4:47 PM,7/27/2015
8984,Enroll in Payment Plan,12:21 AM,9/16/2012
10146,View Unofficial Transcript ,5:14 AM,3/28/2013
3536,Enroll in Payment Plan,3:55 AM,6/8/2017
8223, My Course History,10:28 AM,5/5/2015
12650, Account Inquiry,4:41 AM,4/1/2014
13272,Enroll in Payment Plan,12:26 AM,9/14/2016
14253,View Financial Aid,4:48 AM,10/29/2016
6252,  Class Search ,6:56 AM,9/3/2014
2730, Browse Course Catalog,5:45 PM,9/16/2016
2388, Browse Course Catalog,3:41 AM,11/7/2013
4688,Enroll in Payment Plan,9:07 AM,11/19/2016
371,Enroll in Payment Plan,9:24 AM,12/11/2014
7237,Enroll in Payment Plan,2:11 AM,3/9/2014
10169, Account Inquiry,8:55 AM,2/17/2017
1650,Enroll in Payment Plan,1:30 PM,1/17/2013
10135,Enroll in Payment Plan,8:09 AM,2/28/2013
7454,Enroll in Payment Plan,5:00 PM,9/25/2013
1969,Enroll in Payment Plan,10:58 AM,3/7/2013
6045,Enroll in Payment Plan,7:06 PM,6/24/2016
5236,View Financial Aid,7:04 PM,6/7/2013
8132,View Financial Aid,5:51 PM,11/28/2014
4092,Enroll in Payment Plan,4:29 PM,8/4/2015
193,View Financial Aid,3:21 PM,6/22/2015
5385,Enroll in Payment Plan,5:14 AM,6/15/2012
1,Enroll in Payment Plan,12:59 PM,7/18/2015
6390,View Unofficial Transcript ,12:26 PM,10/10/2016
14684,Enroll in Payment Plan,10:05 AM,12/6/2015
10329,View Financial Aid,7:41 PM,3/5/2015
5663, Browse Course Catalog,11:13 PM,1/17/2015
12323,Enroll in Payment Plan,9:51 AM,10/19/2011
12088,Enroll in Payment Plan,2:40 AM,5/15/2012
12006,Enroll in Payment Plan,2:23 AM,12/30/2015
2081,Enroll in Payment Plan,10:22 AM,8/18/2016
3074,  Class Search ,6:10 PM,2/24/2014
1081,Enroll in Payment Plan,4:50 AM,6/25/2015
2596,Enroll in Payment Plan,7:25 AM,3/12/2014
1640,Enroll in Payment Plan,7:19 AM,6/9/2012
7238,View Financial Aid,11:13 AM,7/13/2014
10856,Enroll in Payment Plan,4:29 PM,3/1/2016
14583,Enroll in Payment Plan,7:42 AM,2/23/2014
653,View Financial Aid,1:19 AM,2/23/2014
5900,Enroll in Payment Plan,8:27 AM,12/9/2014
10182,Enroll in Payment Plan,8:25 AM,5/11/2013
11999,Enroll in Payment Plan,1:35 AM,4/17/2017
10849,View Financial Aid,6:50 PM,5/3/2014
13463, Account Inquiry,11:52 AM,4/5/2015
4193,Enroll in Payment Plan,11:13 PM,5/23/2015
8259,View Financial Aid,2:38 AM,3/8/2017
10724,Enroll in Payment Plan,1:58 PM,8/22/2013
6904,Enroll in Payment Plan,9:07 PM,8/31/2013
13013, Account Inquiry,11:59 AM,10/9/2013
3075,Enroll in Payment Plan,2:49 AM,1/5/2015
12801, Account Inquiry,3:20 PM,9/18/2012
5670,  Class Search ,11:02 AM,1/15/2013
816,Enroll in Payment Plan,3:29 PM,5/4/2014
8358,  Class Search ,11:57 PM,10/20/2014
6166,Enroll in Payment Plan,7:22 AM,8/8/2014
6253, Account Inquiry,5:07 AM,11/22/2015
1322,Enroll in Payment Plan,12:42 PM,12/31/2013
1714, Account Inquiry,4:45 AM,12/4/2014
7466,Enroll in Payment Plan,11:02 AM,8/8/2015
1032,Enroll in Payment Plan,3:34 PM,5/17/2012
13461, Account Inquiry,2:03 PM,4/27/2017
8917,View Financial Aid,12:21 PM,7/7/2012
6491,View Financial Aid,8:49 PM,5/29/2012
3452,Enroll in Payment Plan,11:32 PM,9/1/2011
893,View Financial Aid,8:28 AM,10/21/2016
3350,Enroll in Payment Plan,5:38 AM,12/28/2011
5825, Browse Course Catalog,2:41 AM,12/1/2014
3806,Enroll in Payment Plan,10:35 PM,6/1/2012
14899,Enroll in Payment Plan,11:22 PM,8/23/2013
2686,Enroll in Payment Plan,9:17 PM,10/8/2015
14795, Account Inquiry,3:06 PM,10/29/2012
6474,Enroll in Payment Plan,2:36 AM,3/6/2015
2909,Enroll in Payment Plan,5:46 PM,1/21/2014
3562, Account Inquiry,10:20 PM,5/30/2017
6055, Account Inquiry,10:53 PM,10/4/2015
10556,Enroll in Payment Plan,12:53 PM,9/28/2014
13655,Enroll in Payment Plan,9:13 AM,10/13/2014
2681, Account Inquiry,11:18 AM,1/11/2017
7812,Enroll in Payment Plan,6:01 AM,1/27/2015
10551,Enroll in Payment Plan,1:12 PM,1/1/2017
7329,View Financial Aid,1:54 AM,12/30/2011
5275,View Financial Aid,1:02 AM,7/10/2015
11978,View Financial Aid,3:49 PM,3/12/2012
5168,View Financial Aid,12:54 PM,9/27/2016
930,View Financial Aid,8:01 PM,7/31/2014
5761,Enroll in Payment Plan,9:21 PM,8/2/2013
2110, Account Inquiry,11:04 PM,3/11/2013
161,Enroll in Payment Plan,5:20 AM,10/5/2012
3547,Enroll in Payment Plan,4:40 PM,12/26/2015
4249,Enroll in Payment Plan,1:12 AM,12/25/2013
9909, My Course History,12:32 AM,6/19/2014
14964,Enroll in Payment Plan,12:14 AM,2/18/2017
12777, Account Inquiry,6:06 PM,5/28/2016
1272, Account Inquiry,11:57 AM,1/3/2017
5238,Enroll in Payment Plan,3:12 PM,12/1/2013
9362, Browse Course Catalog,11:12 AM,3/14/2012
11497,Enroll in Payment Plan,12:43 AM,5/14/2013
6523,	View My Milestones ,10:07 PM,9/3/2015
11932,My Class Schedule ,2:55 AM,12/21/2013
2805,	Enrollment: Drop Classes ,11:39 PM,8/17/2015
8656,	Enrollment: Drop Classes ,6:29 PM,1/21/2012
11389,	View My Milestones ,2:07 AM,4/26/2013
405,My Class Schedule ,6:08 PM,11/22/2011
7789,	View My Milestones ,9:06 AM,11/16/2014
10950,	Enrollment: Drop Classes ,12:10 PM,4/23/2013
13499,My Class Schedule ,7:07 AM,5/8/2014
2660,	View My Milestones ,7:02 AM,7/30/2017
8361,	View My Milestones ,12:39 AM,9/26/2015
10816,	View My Milestones ,9:41 AM,12/29/2011
4143,	View My Milestones ,1:31 AM,10/1/2015
7744,	View My Milestones ,1:32 AM,8/16/2015
11926,	View My Milestones ,2:35 PM,7/6/2014
10921,	View My Milestones ,3:27 PM,6/10/2012
2633,	Enrollment: Drop Classes ,12:57 PM,1/21/2016
6977,	Enrollment: Drop Classes ,11:52 AM,8/27/2013
2683,	View My Milestones ,6:57 AM,4/29/2016
5558,	View My Milestones ,2:47 PM,8/18/2013
13307,My Class Schedule ,9:36 AM,11/27/2013
4378,	View My Milestones ,11:58 AM,11/20/2015
2999,	Enrollment: Drop Classes ,8:54 PM,8/16/2017
5894,My Class Schedule ,2:44 PM,12/20/2012
10442,	View My Grades ,9:38 PM,11/27/2015
764,	View My Grades ,3:05 AM,1/4/2013
2231,	View My Milestones ,4:03 AM,11/14/2014
